 ,Area,Mean,Min,Max,X,Y,Slice
1,0,19.926,19.926,19.926,50,77,1
2,0,20.196,20.196,20.196,50,77,2
3,0,24.633,24.633,24.633,113,3,3
4,0,25.540,25.540,25.540,124,12,4
5,0,27.703,27.703,27.703,78,1,5
6,0,26.740,26.740,26.740,124,12,5
7,0,32.818,32.818,32.818,117,25,6
8,0,28.627,28.627,28.627,101,25,6
9,0,26.446,26.446,26.446,78,1,6
10,0,33.505,33.505,33.505,101,25,7
11,0,26.810,26.810,26.810,100,1,7
12,0,32.584,32.584,32.584,100,1,8
13,0,31.782,31.782,31.782,120,45,8
14,0,24.899,24.899,24.899,66,4,8
15,0,33.017,33.017,33.017,115,69,9
16,0,29.951,29.951,29.951,109,39,9
17,0,29.439,29.439,29.439,100,1,9
18,0,54.047,54.047,54.047,112,68,10
19,0,34.860,34.860,34.860,82,31,10
20,0,33.335,33.335,33.335,79,35,10
21,0,28.677,28.677,28.677,60,19,10
22,0,27.534,27.534,27.534,34,1,10
23,0,27.113,27.113,27.113,105,14,10
24,0,26.528,26.528,26.528,81,24,10
25,0,39.045,39.045,39.045,112,70,11
26,0,37.600,37.600,37.600,79,35,11
27,0,33.309,33.309,33.309,82,31,11
28,0,32.065,32.065,32.065,51,13,11
29,0,30.505,30.505,30.505,31,2,11
30,0,30.116,30.116,30.116,116,37,11
31,0,25.243,25.243,25.243,105,14,11
32,0,49.536,49.536,49.536,105,43,12
33,0,45.062,45.062,45.062,96,58,12
34,0,40.599,40.599,40.599,107,52,12
35,0,40.592,40.592,40.592,118,56,12
36,0,37.667,37.667,37.667,83,62,12
37,0,37.140,37.140,37.140,79,35,12
38,0,34.341,34.341,34.341,51,13,12
39,0,32.535,32.535,32.535,31,2,12
40,0,32.479,32.479,32.479,123,38,12
41,0,30.768,30.768,30.768,104,31,12
42,0,27.779,27.779,27.779,105,14,12
43,0,50.803,50.803,50.803,88,81,13
44,0,47.311,47.311,47.311,89,50,13
45,0,44.571,44.571,44.571,106,43,13
46,0,40.418,40.418,40.418,79,35,13
47,0,38.047,38.047,38.047,116,71,13
48,0,31.996,31.996,31.996,119,37,13
49,0,30.906,30.906,30.906,59,37,13
50,0,30.390,30.390,30.390,81,24,13
51,0,29.497,29.497,29.497,31,2,13
52,0,28.603,28.603,28.603,105,14,13
53,0,28.254,28.254,28.254,80,15,13
54,0,64.926,64.926,64.926,111,81,14
55,0,51.912,51.912,51.912,113,50,14
56,0,49.429,49.429,49.429,88,81,14
57,0,47.718,47.718,47.718,82,58,14
58,0,41.081,41.081,41.081,117,70,14
59,0,38.595,38.595,38.595,100,41,14
60,0,37.093,37.093,37.093,79,35,14
61,0,34.667,34.667,34.667,80,15,14
62,0,31.634,31.634,31.634,119,38,14
63,0,30.240,30.240,30.240,105,14,14
64,0,28.921,28.921,28.921,40,27,14
65,0,26.096,26.096,26.096,81,24,14
66,0,65.086,65.086,65.086,87,89,15
67,0,62.316,62.316,62.316,85,78,15
68,0,53.957,53.957,53.957,118,68,15
69,0,53.137,53.137,53.137,118,51,15
70,0,52.790,52.790,52.790,101,85,15
71,0,32.494,32.494,32.494,105,14,15
72,0,32.452,32.452,32.452,101,25,15
73,0,32.180,32.180,32.180,79,35,15
74,0,31.359,31.359,31.359,124,115,15
