index,axis-0,axis-1,axis-2,label
0,0.0,50.0,77.0,0.0
1,0.0,63.0,182.0,0.0
2,0.0,59.0,51.0,0.0
3,0.0,29.0,6.0,0.0
4,0.0,2.0,20.0,0.0
5,0.0,73.0,110.0,0.0
6,0.0,92.0,16.0,0.0
7,0.0,46.0,158.0,0.0
8,0.0,75.0,77.0,0.0
9,0.0,100.0,191.0,0.0
10,0.0,64.0,215.0,0.0
11,0.0,57.0,150.0,0.0
12,0.0,49.0,219.0,0.0
13,0.0,88.0,60.0,0.0
14,0.0,97.0,27.0,0.0
15,0.0,61.0,186.0,0.0
16,0.0,78.0,127.0,0.0
17,0.0,101.0,25.0,0.0
18,0.0,1.0,166.0,0.0
19,0.0,110.0,217.0,0.0
20,0.0,23.0,19.0,0.0
21,0.0,100.0,173.0,0.0
22,0.0,81.0,16.0,0.0
23,0.0,83.0,130.0,0.0
24,1.0,50.0,77.0,0.0
25,1.0,75.0,77.0,0.0
26,1.0,124.0,0.0,1.0
27,1.0,29.0,6.0,0.0
28,1.0,59.0,51.0,0.0
29,1.0,2.0,20.0,0.0
30,1.0,64.0,215.0,0.0
31,1.0,63.0,182.0,0.0
32,1.0,92.0,16.0,0.0
33,1.0,46.0,158.0,0.0
34,1.0,49.0,219.0,0.0
35,1.0,100.0,191.0,0.0
36,1.0,61.0,186.0,0.0
37,1.0,78.0,127.0,0.0
38,1.0,73.0,110.0,0.0
39,1.0,88.0,60.0,0.0
40,1.0,27.0,153.0,0.0
41,1.0,39.0,15.0,0.0
42,1.0,100.0,173.0,0.0
43,1.0,98.0,220.0,0.0
44,2.0,113.0,3.0,1.0
45,2.0,115.0,7.0,1.0
46,2.0,124.0,12.0,1.0
47,2.0,116.0,1.0,1.0
48,2.0,50.0,77.0,0.0
49,2.0,63.0,182.0,0.0
50,2.0,29.0,6.0,0.0
51,2.0,59.0,51.0,0.0
52,2.0,75.0,77.0,0.0
53,2.0,81.0,24.0,0.0
54,2.0,46.0,158.0,0.0
55,2.0,92.0,16.0,0.0
56,2.0,88.0,60.0,0.0
57,2.0,101.0,25.0,0.0
58,2.0,64.0,215.0,0.0
59,2.0,2.0,20.0,0.0
60,2.0,73.0,110.0,0.0
61,2.0,100.0,191.0,0.0
62,2.0,110.0,217.0,0.0
63,2.0,1.0,166.0,0.0
64,2.0,27.0,153.0,0.0
65,2.0,39.0,15.0,0.0
66,2.0,123.0,71.0,0.0
67,2.0,100.0,173.0,0.0
68,2.0,49.0,219.0,0.0
69,2.0,57.0,150.0,0.0
70,2.0,78.0,127.0,0.0
71,2.0,83.0,130.0,0.0
72,3.0,124.0,12.0,1.0
73,3.0,123.0,15.0,1.0
74,3.0,113.0,3.0,1.0
75,3.0,115.0,7.0,1.0
76,3.0,118.0,4.0,2.0
77,3.0,75.0,77.0,0.0
78,3.0,50.0,77.0,0.0
79,3.0,107.0,14.0,1.0
80,3.0,63.0,182.0,0.0
81,3.0,29.0,6.0,0.0
82,3.0,79.0,0.0,1.0
83,3.0,105.0,14.0,0.0
84,3.0,59.0,51.0,0.0
85,3.0,100.0,1.0,0.0
86,3.0,73.0,110.0,0.0
87,3.0,64.0,215.0,0.0
88,3.0,88.0,60.0,0.0
89,3.0,39.0,15.0,0.0
90,3.0,2.0,20.0,0.0
91,3.0,46.0,158.0,0.0
92,3.0,100.0,191.0,0.0
93,3.0,92.0,16.0,0.0
94,3.0,97.0,27.0,0.0
95,3.0,1.0,166.0,0.0
96,3.0,78.0,127.0,0.0
97,3.0,61.0,186.0,0.0
98,4.0,78.0,1.0,1.0
99,4.0,124.0,12.0,1.0
100,4.0,80.0,2.0,1.0
101,4.0,123.0,15.0,2.0
102,4.0,85.0,0.0,1.0
103,4.0,105.0,14.0,2.0
104,4.0,50.0,77.0,0.0
105,4.0,107.0,14.0,1.0
106,4.0,75.0,77.0,0.0
107,4.0,59.0,51.0,0.0
108,4.0,29.0,6.0,0.0
109,4.0,101.0,25.0,1.0
110,4.0,63.0,182.0,0.0
111,4.0,92.0,16.0,1.0
112,4.0,2.0,20.0,0.0
113,4.0,46.0,158.0,0.0
114,4.0,39.0,15.0,0.0
115,4.0,100.0,1.0,0.0
116,4.0,64.0,215.0,0.0
117,4.0,88.0,60.0,0.0
118,4.0,57.0,150.0,0.0
119,4.0,73.0,110.0,0.0
120,4.0,78.0,127.0,0.0
121,4.0,61.0,186.0,0.0
122,4.0,100.0,191.0,0.0
123,4.0,83.0,185.0,0.0
124,5.0,117.0,25.0,1.0
125,5.0,101.0,25.0,1.0
126,5.0,78.0,1.0,1.0
127,5.0,80.0,2.0,1.0
128,5.0,107.0,23.0,1.0
129,5.0,123.0,31.0,2.0
130,5.0,81.0,9.0,1.0
131,5.0,50.0,77.0,0.0
132,5.0,2.0,20.0,0.0
133,5.0,119.0,33.0,1.0
134,5.0,100.0,1.0,1.0
135,5.0,63.0,182.0,0.0
136,5.0,75.0,77.0,0.0
137,5.0,59.0,51.0,0.0
138,5.0,29.0,6.0,0.0
139,5.0,57.0,150.0,0.0
140,5.0,46.0,158.0,0.0
141,5.0,64.0,215.0,0.0
142,5.0,78.0,127.0,0.0
143,5.0,49.0,219.0,0.0
144,5.0,110.0,217.0,0.0
145,5.0,39.0,15.0,0.0
146,5.0,100.0,191.0,0.0
147,5.0,23.0,19.0,0.0
148,5.0,73.0,110.0,0.0
149,5.0,76.0,174.0,0.0
150,5.0,61.0,186.0,0.0
151,5.0,27.0,153.0,0.0
152,6.0,101.0,25.0,1.0
153,6.0,120.0,45.0,1.0
154,6.0,100.0,1.0,1.0
155,6.0,115.0,32.0,1.0
156,6.0,123.0,31.0,1.0
157,6.0,119.0,33.0,2.0
158,6.0,95.0,25.0,1.0
159,6.0,66.0,4.0,1.0
160,6.0,101.0,28.0,1.0
161,6.0,78.0,10.0,1.0
162,6.0,117.0,25.0,2.0
163,6.0,107.0,23.0,1.0
164,6.0,113.0,29.0,1.0
165,6.0,50.0,77.0,0.0
166,6.0,75.0,77.0,0.0
167,6.0,29.0,6.0,0.0
168,6.0,63.0,182.0,0.0
169,6.0,2.0,20.0,0.0
170,6.0,59.0,51.0,0.0
171,6.0,80.0,15.0,2.0
172,6.0,39.0,15.0,0.0
173,6.0,118.0,4.0,2.0
174,6.0,49.0,219.0,0.0
175,6.0,81.0,24.0,0.0
176,6.0,46.0,158.0,0.0
177,6.0,64.0,215.0,0.0
178,6.0,78.0,127.0,0.0
179,6.0,88.0,60.0,0.0
180,6.0,23.0,19.0,0.0
181,6.0,61.0,186.0,0.0
182,6.0,27.0,153.0,0.0
183,6.0,57.0,150.0,0.0
184,6.0,2.0,73.0,0.0
185,6.0,21.0,212.0,0.0
186,7.0,100.0,1.0,1.0
187,7.0,120.0,45.0,1.0
188,7.0,109.0,39.0,1.0
189,7.0,109.0,37.0,1.0
190,7.0,101.0,25.0,1.0
191,7.0,66.0,4.0,1.0
192,7.0,99.0,37.0,1.0
193,7.0,123.0,31.0,1.0
194,7.0,119.0,33.0,1.0
195,7.0,115.0,32.0,0.0
196,7.0,54.0,2.0,1.0
197,7.0,101.0,28.0,1.0
198,7.0,50.0,77.0,0.0
199,7.0,59.0,51.0,0.0
200,7.0,81.0,24.0,0.0
201,7.0,63.0,182.0,0.0
202,7.0,118.0,4.0,1.0
203,7.0,75.0,77.0,0.0
204,7.0,2.0,20.0,0.0
205,7.0,115.0,7.0,1.0
206,7.0,29.0,6.0,0.0
207,7.0,92.0,16.0,0.0
208,7.0,57.0,150.0,0.0
209,7.0,122.0,70.0,1.0
210,7.0,46.0,158.0,0.0
211,7.0,73.0,110.0,0.0
212,7.0,49.0,219.0,0.0
213,7.0,88.0,60.0,0.0
214,7.0,100.0,191.0,0.0
215,7.0,23.0,19.0,0.0
216,7.0,21.0,212.0,0.0
217,7.0,94.0,176.0,0.0
218,7.0,78.0,127.0,0.0
219,7.0,27.0,153.0,0.0
220,7.0,83.0,185.0,0.0
221,8.0,115.0,69.0,1.0
222,8.0,109.0,39.0,1.0
223,8.0,100.0,1.0,1.0
224,8.0,120.0,45.0,1.0
225,8.0,103.0,40.0,1.0
226,8.0,103.0,43.0,1.0
227,8.0,112.0,38.0,1.0
228,8.0,109.0,37.0,2.0
229,8.0,123.0,49.0,1.0
230,8.0,99.0,37.0,1.0
231,8.0,81.0,24.0,0.0
232,8.0,114.0,43.0,1.0
233,8.0,98.0,8.0,1.0
234,8.0,113.0,50.0,1.0
235,8.0,54.0,2.0,1.0
236,8.0,99.0,13.0,1.0
237,8.0,65.0,11.0,1.0
238,8.0,59.0,9.0,1.0
239,8.0,101.0,25.0,0.0
240,8.0,105.0,14.0,0.0
241,8.0,103.0,10.0,2.0
242,8.0,50.0,77.0,0.0
243,8.0,74.0,18.0,0.0
244,8.0,59.0,51.0,0.0
245,8.0,29.0,6.0,0.0
246,8.0,75.0,77.0,0.0
247,8.0,2.0,20.0,0.0
248,8.0,63.0,182.0,0.0
249,8.0,64.0,215.0,0.0
250,8.0,46.0,158.0,0.0
251,8.0,49.0,219.0,0.0
252,8.0,100.0,191.0,0.0
253,8.0,88.0,60.0,0.0
254,8.0,73.0,110.0,0.0
255,8.0,57.0,150.0,0.0
256,8.0,61.0,186.0,0.0
257,8.0,2.0,73.0,0.0
258,8.0,100.0,173.0,0.0
259,8.0,3.0,127.0,0.0
260,9.0,112.0,68.0,1.0
261,9.0,82.0,31.0,1.0
262,9.0,120.0,45.0,1.0
263,9.0,79.0,35.0,0.0
264,9.0,103.0,40.0,2.0
265,9.0,113.0,50.0,1.0
266,9.0,60.0,19.0,1.0
267,9.0,34.0,1.0,1.0
268,9.0,31.0,2.0,1.0
269,9.0,105.0,14.0,0.0
270,9.0,103.0,43.0,1.0
271,9.0,81.0,24.0,0.0
272,9.0,99.0,37.0,1.0
273,9.0,109.0,39.0,0.0
274,9.0,99.0,13.0,1.0
275,9.0,98.0,8.0,1.0
276,9.0,51.0,13.0,1.0
277,9.0,100.0,1.0,0.0
278,9.0,107.0,52.0,0.0
279,9.0,42.0,10.0,1.0
280,9.0,98.0,47.0,1.0
281,9.0,101.0,25.0,3.0
282,9.0,50.0,77.0,0.0
283,9.0,63.0,182.0,0.0
284,9.0,118.0,4.0,0.0
285,9.0,75.0,77.0,0.0
286,9.0,29.0,6.0,2.0
287,9.0,59.0,51.0,0.0
288,9.0,2.0,20.0,0.0
289,9.0,119.0,13.0,1.0
290,9.0,88.0,60.0,0.0
291,9.0,100.0,191.0,0.0
292,9.0,23.0,19.0,0.0
293,9.0,64.0,215.0,0.0
294,9.0,16.0,0.0,0.0
295,9.0,61.0,186.0,0.0
296,9.0,78.0,127.0,0.0
297,9.0,1.0,166.0,0.0
298,9.0,73.0,110.0,0.0
299,9.0,49.0,219.0,0.0
300,9.0,21.0,212.0,0.0
301,9.0,49.0,59.0,0.0
302,10.0,112.0,70.0,1.0
303,10.0,79.0,35.0,2.0
304,10.0,82.0,31.0,1.0
305,10.0,51.0,13.0,1.0
306,10.0,115.0,55.0,1.0
307,10.0,31.0,2.0,1.0
308,10.0,116.0,37.0,1.0
309,10.0,123.0,38.0,1.0
310,10.0,103.0,43.0,2.0
311,10.0,120.0,45.0,0.0
312,10.0,58.0,20.0,1.0
313,10.0,42.0,10.0,1.0
314,10.0,107.0,52.0,1.0
315,10.0,96.0,47.0,1.0
316,10.0,34.0,1.0,1.0
317,10.0,81.0,38.0,3.0
318,10.0,123.0,49.0,1.0
319,10.0,105.0,14.0,0.0
320,10.0,100.0,51.0,1.0
321,10.0,124.0,80.0,1.0
322,10.0,69.0,23.0,1.0
323,10.0,94.0,58.0,0.0
324,10.0,100.0,1.0,0.0
325,10.0,123.0,71.0,1.0
326,10.0,84.0,56.0,1.0
327,10.0,81.0,24.0,0.0
328,10.0,101.0,25.0,1.0
329,10.0,75.0,39.0,1.0
330,10.0,104.0,31.0,1.0
331,10.0,119.0,13.0,1.0
332,10.0,29.0,6.0,1.0
333,10.0,74.0,34.0,1.0
334,10.0,88.0,60.0,0.0
335,10.0,92.0,16.0,1.0
336,10.0,118.0,4.0,1.0
337,10.0,50.0,77.0,0.0
338,10.0,63.0,182.0,0.0
