 ,Area,Mean,Min,Max,X,Y,Slice
1,0,9.348,9.348,9.348,115.516,6.174,2
2,0,8.804,8.804,8.804,121.933,1.040,2
3,0,14.135,14.135,14.135,114.233,1.297,2
4,0,6.032,6.032,6.032,62.128,0.013,2
5,0,12.030,12.030,12.030,123.987,6.687,2
6,0,7.059,7.059,7.059,123.473,12.334,2
7,0,11.484,11.484,11.484,123.217,12.590,3
8,0,8.122,8.122,8.122,123.217,16.440,3
9,0,12.557,12.557,12.557,107.816,0.270,3
10,0,10.766,10.766,10.766,112.436,6.430,3
11,0,12.578,12.578,12.578,123.730,1.040,3
12,0,12.199,12.199,12.199,116.800,1.810,3
13,0,13.583,13.583,13.583,112.693,2.067,3
14,0,11.875,11.875,11.875,122.703,17.210,4
15,0,9.506,9.506,9.506,122.190,10.280,4
16,0,9.254,9.254,9.254,122.960,1.810,4
17,0,15.266,15.266,15.266,110.383,14.644,4
18,0,10.904,10.904,10.904,112.693,9.510,4
19,0,16.556,16.556,16.556,114.490,1.297,4
20,0,11.921,11.921,11.921,116.030,5.660,4
21,0,10.338,10.338,10.338,112.436,5.660,4
22,0,9.203,9.203,9.203,82.662,0.783,4
23,0,10.312,10.312,10.312,79.582,1.040,4
24,0,10.380,10.380,10.380,122.190,23.114,5
25,0,10.990,10.990,10.990,120.907,24.654,5
26,0,9.580,9.580,9.580,109.870,21.061,5
27,0,11.308,11.308,11.308,109.870,14.387,5
28,0,9.246,9.246,9.246,102.683,21.574,5
29,0,9.468,9.468,9.468,85.486,4.890,5
30,0,12.485,12.485,12.485,74.962,0.783,5
31,0,11.197,11.197,11.197,82.149,2.323,5
32,0,12.424,12.424,12.424,122.960,6.430,5
33,0,12.555,12.555,12.555,122.960,10.537,5
34,0,14.571,14.571,14.571,123.473,1.040,5
35,0,5.981,5.981,5.981,95.496,14.644,5
36,0,7.171,7.171,7.171,90.106,11.307,5
37,0,6.549,6.549,6.549,122.190,41.338,6
38,0,8.319,8.319,8.319,117.056,42.364,6
39,0,11.463,11.463,11.463,120.907,33.124,6
40,0,10.739,10.739,10.739,121.677,22.857,6
41,0,13.313,13.313,13.313,114.746,26.707,6
42,0,11.646,11.646,11.646,103.453,23.371,6
43,0,11.935,11.935,11.935,108.073,27.477,6
44,0,12.149,12.149,12.149,109.613,21.574,6
45,0,13.427,13.427,13.427,98.319,20.034,6
46,0,10.286,10.286,10.286,99.603,24.654,6
47,0,10.474,10.474,10.474,103.709,18.751,6
48,0,9.064,9.064,9.064,97.806,1.040,6
49,0,10.866,10.866,10.866,123.473,7.970,6
50,0,9.213,9.213,9.213,112.436,4.633,6
51,0,11.072,11.072,11.072,81.122,8.227,6
52,0,11.572,11.572,11.572,72.652,1.297,6
53,0,12.920,12.920,12.920,82.406,3.093,6
54,0,10.700,10.700,10.700,77.015,6.687,6
55,0,11.630,11.630,11.630,59.048,1.553,6
56,0,13.062,13.062,13.062,67.775,0.013,6
57,0,13.812,13.812,13.812,118.083,46.215,7
58,0,25.482,25.482,25.482,122.960,49.295,7
59,0,11.478,11.478,11.478,122.703,28.761,7
60,0,17.338,17.338,17.338,123.217,39.028,7
61,0,15.614,15.614,15.614,118.340,40.824,7
62,0,17.329,17.329,17.329,111.410,35.691,7
63,0,15.518,15.518,15.518,106.533,34.151,7
64,0,11.834,11.834,11.834,99.089,30.044,7
65,0,11.936,11.936,11.936,93.956,24.141,7
66,0,12.714,12.714,12.714,97.036,24.141,7
67,0,20.731,20.731,20.731,106.790,23.371,7
68,0,11.523,11.523,11.523,112.436,26.451,7
69,0,13.018,13.018,13.018,117.313,30.044,7
70,0,12.944,12.944,12.944,97.549,3.350,7
71,0,16.037,16.037,16.037,98.576,0.527,7
72,0,10.799,10.799,10.799,80.609,11.564,7
73,0,15.661,15.661,15.661,79.069,3.607,7
74,0,10.156,10.156,10.156,75.475,7.970,7
75,0,9.598,9.598,9.598,68.545,4.377,7
76,0,10.402,10.402,10.402,60.845,5.917,7
77,0,15.384,15.384,15.384,59.048,1.553,7
78,0,13.439,13.439,13.439,64.695,3.863,7
79,0,10.596,10.596,10.596,67.775,1.553,7
80,0,8.775,8.775,8.775,40.568,1.040,7
81,0,8.816,8.816,8.816,123.473,22.857,7
82,0,8.457,8.457,8.457,122.960,68.802,8
83,0,7.981,7.981,7.981,118.083,68.545,8
84,0,11.167,11.167,11.167,122.960,29.274,8
85,0,12.787,12.787,12.787,122.960,33.894,8
86,0,12.415,12.415,12.415,120.907,32.868,8
87,0,22.162,22.162,22.162,99.346,2.067,8
88,0,15.628,15.628,15.628,95.753,0.270,8
89,0,11.932,11.932,11.932,69.059,9.510,8
90,0,13.533,13.533,13.533,60.588,8.740,8
91,0,13.892,13.892,13.892,63.155,3.863,8
92,0,15.724,15.724,15.724,57.252,1.810,8
93,0,15.850,15.850,15.850,120.907,50.578,8
94,0,18.446,18.446,18.446,122.703,43.905,8
95,0,21.288,21.288,21.288,116.286,45.701,8
96,0,14.182,14.182,14.182,116.543,37.231,8
97,0,18.011,18.011,18.011,105.763,39.541,8
98,0,15.544,15.544,15.544,101.143,35.178,8
99,0,13.931,13.931,13.931,94.213,32.611,8
100,0,11.778,11.778,11.778,97.549,25.681,8
101,0,13.547,13.547,13.547,103.966,30.557,8
102,0,14.649,14.649,14.649,109.356,35.691,8
103,0,17.947,17.947,17.947,118.340,4.377,8
104,0,8.245,8.245,8.245,111.666,1.553,8
105,0,24.937,24.937,24.937,121.933,69.829,9
106,0,27.820,27.820,27.820,115.516,69.572,9
107,0,27.167,27.167,27.167,117.826,68.545,9
108,0,20.921,20.921,20.921,115.260,64.695,9
109,0,23.213,23.213,23.213,112.180,62.385,9
110,0,15.566,15.566,15.566,121.420,52.631,9
