 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,1210.301,1210.301,1210.301,136.075,109.401,6
2,0.000,925.155,925.155,925.155,141.854,114.736,6
3,0.000,579.740,579.740,579.740,171.195,117.403,6
4,0.000,1120.704,1120.704,1120.704,172.529,98.732,6
5,0.000,229.508,229.508,229.508,178.753,27.157,6
6,0.000,947.332,947.332,947.332,134.741,38.271,6
7,0.000,247.743,247.743,247.743,147.633,5.374,6
8,0.000,274.451,274.451,274.451,160.081,13.376,6
9,0.000,256.884,256.884,256.884,148.078,18.266,6
10,0.000,648.036,648.036,648.036,175.196,3.151,6
11,0.000,807.173,807.173,807.173,160.526,113.847,6
12,0.000,492.184,492.184,492.184,68.057,14.710,6
13,0.000,961.271,961.271,961.271,148.078,133.407,6
14,0.000,1332.605,1332.605,1332.605,176.829,93.793,7
15,0.000,606.200,606.200,606.200,146.472,82.632,7
16,0.000,789.162,789.162,789.162,137.543,139.329,7
17,0.000,995.413,995.413,995.413,116.561,105.400,7
18,0.000,720.222,720.222,720.222,47.811,18.346,7
19,0.000,580.999,580.999,580.999,172.811,78.614,7
20,0.000,615.421,615.421,615.421,126.382,33.525,7
21,0.000,1204.206,1204.206,1204.206,163.882,128.168,7
22,0.000,732.012,732.012,732.012,195.132,68.793,7
23,0.000,264.042,264.042,264.042,160.311,12.096,7
24,0.000,1256.834,1256.834,1256.834,183.525,84.864,8
25,0.000,1037.625,1037.625,1037.625,118.346,97.364,8
26,0.000,997.068,997.068,997.068,196.472,119.686,8
27,0.000,1192.204,1192.204,1192.204,159.418,143.793,8
28,0.000,1094.654,1094.654,1094.654,139.329,92.900,8
29,0.000,1139.891,1139.891,1139.891,155.847,77.721,8
30,0.000,348.736,348.736,348.736,153.614,12.096,8
31,0.000,1179.691,1179.691,1179.691,185.311,138.436,9
32,0.000,1176.912,1176.912,1176.912,121.471,80.846,9
33,0.000,1003.530,1003.530,1003.530,130.846,106.739,9
34,0.000,655.710,655.710,655.710,128.168,154.061,9
35,0.000,777.026,777.026,777.026,181.739,90.668,9
36,0.000,1392.488,1392.488,1392.488,109.418,100.936,9
37,0.000,600.320,600.320,600.320,161.650,29.954,9
38,0.000,614.367,614.367,614.367,137.543,8.525,9
39,0.000,1385.112,1385.112,1385.112,191.114,108.079,9
40,0.000,286.760,286.760,286.760,56.739,111.204,10
41,0.000,829.375,829.375,829.375,135.311,105.400,10
42,0.000,1231.443,1231.443,1231.443,157.186,152.721,10
43,0.000,1330.028,1330.028,1330.028,122.811,154.061,10
44,0.000,1055.540,1055.540,1055.540,111.650,89.329,10
45,0.000,693.862,693.862,693.862,149.596,10.757,10
46,0.000,660.692,660.692,660.692,120.132,36.650,10
47,0.000,391.134,391.134,391.134,91.114,7.632,10
48,0.000,776.317,776.317,776.317,198.704,122.811,10
49,0.000,709.847,709.847,709.847,159.864,76.829,10
50,0.000,762.994,762.994,762.994,183.525,162.989,11
51,0.000,524.561,524.561,524.561,76.829,44.686,11
52,0.000,806.176,806.176,806.176,56.293,112.543,11
53,0.000,960.143,960.143,960.143,192.007,142.900,11
54,0.000,1735.956,1735.956,1735.956,148.257,152.721,11
55,0.000,507.747,507.747,507.747,119.686,13.882,11
56,0.000,1000.059,1000.059,1000.059,114.775,87.096,11
57,0.000,1269.907,1269.907,1269.907,117.900,139.775,11
58,0.000,980.790,980.790,980.790,21.025,13.436,11
59,0.000,744.943,744.943,744.943,4.507,5.400,11
60,0.000,592.134,592.134,592.134,119.239,37.096,11
61,0.000,1102.464,1102.464,1102.464,142.900,104.061,11
62,0.000,384.101,384.101,384.101,161.650,222.364,11
63,0.000,825.362,825.362,825.362,96.471,39.329,11
64,0.000,1025.705,1025.705,1025.705,199.869,194.633,12
65,0.000,505.442,505.442,505.442,52.384,106.491,12
66,0.000,626.325,626.325,626.325,140.962,143.144,12
67,0.000,920.404,920.404,920.404,113.472,108.236,12
68,0.000,573.837,573.837,573.837,5.259,6.568,12
69,0.000,476.509,476.509,476.509,185.906,160.598,12
70,0.000,491.235,491.235,491.235,158.852,14.422,12
71,0.000,626.694,626.694,626.694,142.271,112.163,12
72,0.000,840.095,840.095,840.095,149.689,3.513,12
73,0.000,399.502,399.502,399.502,81.183,42.785,12
74,0.000,443.385,443.385,443.385,168.016,31.440,13
75,0.000,1522.157,1522.157,1522.157,161.907,182.851,13
76,0.000,900.354,900.354,900.354,171.070,195.069,13
77,0.000,633.483,633.483,633.483,144.017,208.596,13
78,0.000,964.958,964.958,964.958,148.816,120.454,13
79,0.000,1111.799,1111.799,1111.799,189.833,162.779,13
80,0.000,609.463,609.463,609.463,60.238,22.713,13
81,0.000,907.421,907.421,907.421,100.818,82.492,13
82,0.000,584.971,584.971,584.971,113.036,115.218,13
83,0.000,409.411,409.411,409.411,10.059,8.750,13
84,0.000,624.878,624.878,624.878,171.506,34.930,14
85,0.000,556.720,556.720,556.720,128.308,123.945,14
86,0.000,419.889,419.889,419.889,195.505,216.450,14
87,0.000,314.425,314.425,314.425,119.145,225.613,14
88,0.000,438.347,438.347,438.347,63.293,26.640,14
89,0.000,721.123,721.123,721.123,117.400,95.582,14
90,0.000,738.373,738.373,738.373,174.561,184.160,14
91,0.000,1056.141,1056.141,1056.141,188.524,161.470,14
92,0.000,883.932,883.932,883.932,140.962,230.849,14
93,0.000,766.263,766.263,766.263,95.146,82.928,14
94,0.000,989.889,989.889,989.889,142.708,154.053,15
95,0.000,359.541,359.541,359.541,131.799,130.926,15
96,0.000,266.623,266.623,266.623,129.617,256.594,15
97,0.000,418.519,418.519,418.519,155.362,250.921,15
98,0.000,1403.539,1403.539,1403.539,111.727,140.962,15
99,0.000,1663.008,1663.008,1663.008,120.454,151.871,15
